season,year,NEFSC,MDMF,MENH,30_plus_biomass,FMSY,75FMSY,,,,
Spring 2009,2009,0.56,0.25,0.19,"4,614",1061,796,,,,
Spring 2010,2010,0.45,0.34,0.22,"3,644",838,629,,,,
Spring 2011,2011,0.41,0.32,0.27,"2,210",508,381,,,,
Spring 2012,2012,0.66,0.21,0.13,"3,320",764,573,,,,
Spring 2013,2013,0.53,0.31,0.16,"2,889",664,498,,,,
Spring 2014,2014,0.59,0.13,0.28,"3,467",797,598,,,,
Spring 2015,2015,0.58,0.22,0.21,"3,268",752,564,,,,
Spring 2016,2016,0.50,0.25,0.26,"4,101",943,707,,,,
Spring 2017,2017,0.50,0.36,0.14,"2,775",638,479,,,,
Spring 2018,2018,0.54,0.28,0.18,"3,834",882,661,,,,
Spring 2019,2019,0.39,0.21,0.40,"2,982",686,514,,,,
Spring 2020,2020,-,-,-,-,-,-,,,,
Spring 2021,2021,0.60,0.22,0.17,"4,142",953,714,,,,
Spring 2022,2022,0.60,0.19,0.21,"4,746",1092,819,,,,
Fall 2009,2009,0.90,0.06,0.03,"5,671",1304,978,,,,
Fall 2010*,2010,0.79,0.16,0.05,"4,144",953,715,,,,
Fall 2011,2011,0.81,0.14,0.05,"5,000",1150,862,,,,
Fall 2012,2012,0.83,0.08,0.08,"2,635",606,455,,,,
Fall 2013,2013,0.73,0.11,0.15,"2,183",502,377,,,,
Fall 2014,2014,0.88,0.07,0.05,"3,332",766,575,,,,
Fall 2015,2015,0.76,0.18,0.06,"2,432",559,419,,,,
Fall 2016,2016,0.87,0.08,0.05,"3,037",699,524,,,,
Fall 2017,2017,0.73,0.22,0.05,"3,039",699,524,,,,
Fall 2018,2018,0.70,0.16,0.14,"2,610",600,450,,,,
Fall 2019,2019,0.79,0.13,0.08,"2,620",603,452,,,,
Fall 2020,2020,-,-,-,-,-,-,,,,
Fall 2021,2021,0.81,0.07,0.12,"5,093",1171,879,,,,
,2022,,,,,,,,,,