Year,0,1,2,3,4,5,6,7+,Total,CV
1987,0.01,0.04,0.01,0.00,0.00,0.00,0.00,0.00,0.05,0.24
1988,0.02,0.06,0.01,0.00,0.00,0.00,0.00,0.00,0.09,0.18
1989,0.03,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.06,0.20
1990,0.08,0.09,0.01,0.00,0.00,0.00,0.00,0.00,0.18,0.13
1991,0.12,0.32,0.04,0.00,0.00,0.00,0.00,0.00,0.48,0.10
1992,0.03,0.16,0.10,0.01,0.00,0.00,0.00,0.00,0.30,0.11
1993,0.08,0.23,0.02,0.00,0.00,0.00,0.00,0.00,0.34,0.11
1994,0.32,0.32,0.04,0.01,0.00,0.00,0.00,0.00,0.70,0.08
1995,0.21,0.18,0.03,0.00,0.01,0.00,0.00,0.00,0.43,0.09
1996,0.05,0.24,0.29,0.04,0.01,0.01,0.00,0.00,0.63,0.08
1997,0.15,0.70,0.43,0.09,0.00,0.00,0.00,0.00,1.38,0.06
1998,0.01,0.26,0.62,0.11,0.01,0.00,0.00,0.00,1.01,0.07
1999,0.04,0.12,0.26,0.12,0.03,0.00,0.00,0.00,0.57,0.09
2000,0.06,0.30,0.33,0.11,0.04,0.02,0.00,0.00,0.85,0.07
2001,0.04,0.29,0.16,0.06,0.02,0.00,0.00,0.00,0.57,0.07
2002,0.29,0.59,0.22,0.06,0.01,0.01,0.00,0.00,1.18,0.07
2003,0.03,0.35,0.23,0.07,0.02,0.00,0.01,0.00,0.72,0.08
2004,0.07,0.24,0.23,0.04,0.00,0.00,0.00,0.00,0.58,0.07
2005,0.06,0.14,0.14,0.11,0.04,0.00,0.00,0.00,0.50,0.13
2006,0.05,0.11,0.22,0.06,0.02,0.00,0.01,0.00,0.47,0.10
2007,0.10,0.11,0.14,0.14,0.04,0.01,0.01,0.00,0.55,0.08
2008,0.43,0.19,0.17,0.06,0.04,0.01,0.00,0.00,0.91,0.10
2009,0.61,0.24,0.19,0.12,0.07,0.02,0.01,0.00,1.24,0.08
2010,0.04,0.10,0.09,0.08,0.06,0.02,0.00,0.00,0.41,0.11
2011,0.05,0.16,0.20,0.14,0.05,0.03,0.02,0.00,0.65,0.09
2012,0.32,0.17,0.16,0.28,0.13,0.02,0.01,0.00,1.11,0.06