Year,1,2,3,4,5,6,7+,Total,,,,
1985,2.09,18.31,12.15,1.94,0.56,0.00,0.00,35.05,,,,
1986,6.87,13.85,4.23,0.83,0.08,0.02,0.00,25.88,,,,
1987,16.69,35.86,10.75,1.54,0.20,0.02,0.00,65.06,,,,
1988,22.35,24.00,7.82,0.95,0.04,0.00,0.06,55.22,,,,
1989,19.74,24.18,2.40,0.93,0.12,0.03,0.01,47.41,,,,
1990,6.22,10.33,2.18,0.75,0.10,0.00,0.04,19.62,,,,
1991,7.81,5.84,2.55,0.47,0.07,0.05,0.00,16.79,,,,
1992,5.81,4.17,1.35,0.47,0.08,0.01,0.00,11.89,,,,
1993,9.03,8.76,0.90,0.30,0.06,0.02,0.00,19.07,,,,
1994,4.52,6.22,1.50,0.17,0.02,0.01,0.00,12.44,,,,
1995,34.71,13.64,7.26,1.38,0.21,0.26,0.17,57.63,,,,
1996,14.22,19.68,5.41,1.11,0.43,0.25,0.11,41.21,,,,
1997,18.06,15.55,6.97,1.56,0.41,0.24,0.36,43.15,,,,
1998,7.50,13.73,3.90,1.25,0.31,0.21,0.07,26.97,,,,
1999,7.08,3.07,2.07,0.72,0.09,0.15,0.06,13.24,,,,
2000,7.47,3.77,2.28,0.82,0.11,0.14,0.05,14.64,,,,
2001,4.10,0.90,0.27,0.11,0.02,0.03,0.01,5.44,,,,
2002,5.39,3.18,0.99,0.34,0.06,0.01,0.00,9.97,,,,
2003,14.16,4.30,0.82,0.26,0.12,0.03,0.01,19.70,,,,
2004,18.36,6.47,0.50,0.32,0.09,0.04,0.02,25.80,,,,
2005,23.59,6.31,0.66,0.16,0.03,0.00,0.00,30.75,,,,
2006,5.20,4.04,1.22,0.34,0.03,0.01,0.00,10.84,,,,
2007,4.41,2.88,0.95,0.24,0.06,0.00,0.00,8.54,,,,
2008,18.74,7.41,0.72,0.15,0.01,0.00,0.00,27.03,,,,
2009,3.65,5.92,1.65,0.21,0.11,0.01,0.00,11.55,,,,
2010,7.73,3.16,1.10,0.25,0.05,0.02,0.00,12.31,,,,
2011,2.10,1.42,1.16,0.26,0.08,0.03,0.01,5.05,,,,
2012,3.09,0.68,0.24,0.12,0.01,0.00,0.01,4.15,,,,
2013,1.06,0.41,0.20,0.14,0.05,0.02,0.01,1.87,,,,
2014,0.92,0.16,0.12,0.05,0.03,0.02,0.00,1.29,,,,
2015,1.03,0.32,0.12,0.04,0.01,0.01,0.03,1.56,,,,
2016,2.91,0.95,0.21,0.01,0.01,0.01,0.01,4.10,,,,
2017,0.69,0.64,0.24,0.15,0.02,0.02,0.03,1.79,,,,
2018,2.65,0.91,0.40,0.10,0.12,0.01,0.02,4.21,,,,
2019,0.79,1.37,0.38,0.15,0.08,0.00,0.01,2.78,,,,
2020,0.65,0.62,0.18,0.12,0.04,0.00,0.01,1.63,,,,
2021,1.09,0.54,0.17,0.07,0.01,0.00,0.00,1.88,,,,