Year,1,2,3,4,5,6,7,Total,CV,Lower,Upper
1981,2.17,6.175,2.373,0.29,0.026,0,0.023,11.057,0.194,7.579,14.678
1982,0.869,2.303,1.209,0.492,0.063,0.023,0,4.959,0.175,3.547,6.406
1983,1.809,4.499,2.398,0.65,0.384,0.103,0.188,10.031,0.341,5.086,16.334
1984,0.181,0.998,1.273,0.281,0.002,0.009,0.004,2.748,0.207,1.863,3.795
1985,0.052,1.121,0.99,0.259,0.116,0,0,2.537,0.185,1.759,3.367
1986,0.254,1.02,0.288,0.029,0.006,0,0,1.597,0.224,1.018,2.214
1987,0.044,0.772,0.396,0.131,0.023,0,0,1.365,0.25,0.866,1.997
1988,0.028,0.337,0.535,0.226,0.035,0,0.012,1.172,0.176,0.842,1.498
1989,0.288,0.858,0.387,0.063,0.016,0,0,1.613,0.385,0.698,2.676
1990,0.082,1.012,0.981,0.18,0.011,0,0.001,2.267,0.281,1.284,3.313
1991,0.045,1.156,0.836,0.11,0.015,0,0,2.163,0.228,1.366,2.997
1992,0.194,1.872,0.969,0.254,0.025,0.006,0,3.32,0.302,1.862,5.089
1993,0.383,0.522,0.348,0.066,0,0,0.003,1.321,0.271,0.793,1.979
1994,0.489,2.559,1.244,0.377,0.064,0.03,0,4.763,0.233,3.006,6.609
1995,0.399,0.866,0.735,0.114,0.005,0.014,0,2.133,0.193,1.492,2.787
1996,0.623,1.489,0.941,0.364,0.072,0.002,0,3.489,0.376,1.385,5.699
1997,1.521,3.957,2.874,0.703,0.08,0,0,9.136,0.303,4.997,14.186
1998,1.447,3.14,2.192,0.463,0.05,0.007,0,7.299,0.117,5.909,8.612
1999,0.424,1.09,1.8,0.585,0.21,0.027,0,4.137,0.155,3.106,5.213
2000,0.969,2.224,2.497,0.646,0.169,0.012,0.01,6.527,0.241,3.945,9.122
2001,0.517,1.25,1.021,0.337,0.216,0.016,0.03,3.387,0.257,2.092,4.915
2002,0.398,4.99,2.823,1.369,0.621,0.212,0.025,10.438,0.176,7.481,13.615
2003,0.48,1.086,1.285,0.499,0.13,0.032,0.016,3.527,0.23,2.157,4.841
2004,2.211,0.755,0.354,0.35,0.074,0.043,0.025,3.812,0.27,2.174,5.503
2005,0.828,2.09,0.942,0.264,0.155,0.09,0.009,4.379,0.279,2.552,6.647
2006,0.455,1.586,0.906,0.225,0.071,0.017,0.003,3.264,0.277,1.89,4.927
2007,0.675,1.997,1.22,0.193,0.023,0.036,0,4.144,0.296,2.227,6.229
2008,0.496,0.806,0.848,0.746,0.328,0.095,0,3.319,0.395,1.492,5.627
2009,0.597,0.987,0.279,0.186,0.107,0.016,0.013,2.185,0.28,1.253,3.226
2010,0.524,1.285,0.766,0.262,0.224,0.022,0.036,3.119,0.282,1.709,4.586
2011,0.295,0.388,0.374,0.274,0.131,0.13,0.06,1.652,0.227,1.054,2.294
2012,1.103,2.666,2.266,0.887,0.223,0.065,0.056,7.266,0.483,2.382,13.699
2013,0.044,0.184,0.216,0.177,0.062,0.041,0.021,0.745,0.308,0.412,1.174
2014,0.428,0.155,0.135,0.049,0.028,0.018,0.005,0.819,0.2,0.558,1.097
2015,0.036,1.065,0.433,0.163,0.024,0.063,0.001,1.784,0.354,0.735,2.853
2016,0.435,0.334,0.203,0.015,0.022,0.014,0.009,1.032,0.166,0.761,1.304
2017,,,,,,,,,,,
2018,1.285,0.577,0.165,0.107,0.048,0.004,0.003,2.188,0.443,0.67,3.804
2019,0.134,0.216,0.083,0.038,0.023,0.011,0.004,0.511,0.188,0.356,0.667
2020,,,,,,,,,,,
2021,0.129,0.158,0.171,0.113,0.034,0.014,0.011,0.63,0.413,0.181,1.061