Year,1,2,3,4,5,6,7+,Total
2008,3.27,3.35,1.79,2.32,0.89,0.14,0.12,11.88
2009,1.13,5.3,2.16,0.96,1.29,0.97,0.26,12.07
2010,2,3.88,4.04,1.18,0.6,0.8,0.5,13
2011,1.36,4.56,2.43,1.71,0.7,0.17,0.49,11.42
2012,1.72,2.07,2.14,0.75,0.41,0.11,0.06,7.26
2013,0.83,2.33,1.16,1.17,0.89,0.15,0.42,6.95
2014,1.46,1.21,1.07,0.43,0.59,0.3,0.27,5.33
2015,1.37,2.14,0.74,0.35,0.32,0.46,0.25,5.63
2016,3.55,4.66,1.16,0.38,0.4,0.2,0.2,10.55
2017,0.81,1.2,0.95,0.24,0.09,0.07,0.05,3.41
2018,1.3,1.04,0.93,0.51,0.05,0.03,0.04,3.9
2019,0.51,1.18,0.47,0.25,0.19,0.03,0.04,2.67
2020,,,,,,,,
2021,0.54,0.93,0.63,0.44,0.4,0.11,0.13,3.18